comment_id,comment_content,comment_author_name,comment_vote_count,child_comment_count
751814451,<p>摄影师重大失误！！！</p>,Frank Cheung,0,0
751971884,数次猜错主角,Mirror,0,0
752504265,欧洲这些队还是菜鸡互啄，如果是美国和牙买加估计会甩他们20米，没可能绝杀,风林火山,0,0
752757638,魔鬼啊！真是鸡皮疙瘩掉一地，牛掰！,不会木工活的木工,0,0
754273260,视频是从盘古开天开始播放的么(´;︵;`)<br>解说员说的什么语，好刺耳,有哦完帮里小没,0,0
754529717,<p>不好！是全集中呼吸</p>,我真的是个废嗨,0,0
754817686,400M真的很刺激。以前校运会专门跑400M…冲刺一时爽，冲线以后就要死了…,KWAN,0,0
754957799,这是人吗,Tim Sky,0,0
755146086,看到最后的时候 我忍不住热泪盈眶 这种激动人心的视频真的激发我内心最后一点点热血 星星之火足以燎原 又开始想去健身了呢,涵 哒嗒,2,1
755457795,到底在哪里[捂脸],摄生客,1,0
755709134,黑人耐力真好 后半段爆发,黄岛之鼠辈,0,0
756314314,最后那个爆发力牛b,微凉,0,0
756424211,你咋不从盘古开天劈地开始录,刘子岳,0,0
756441208,liberate静静,REEEEPOST,0,0
756559990,我倒觉得奇葩，前3最后一个弯居然一个人都不贴内圈跑，不然也不会让第四后来居上,我想做我自己,0,0
756782621,"<p>真好看腿长身材好颜值还高还为国争光</p><a class=""comment_sticker"" href=""https://pic4.zhimg.com/v2-ba306425d0a7aee2c7260381f1bf7b97.gif"" data-width="""" data-height="""">[欢呼]</a>",小马,0,0
756941190,法国解说太逗了,克鲁格Cheetah,0,0
757016922,你怎么不从盘古开天开始剪,孙龙飞,0,0
757197094,接棒的时候为啥不是在各自的跑到上的？,萌妹妹爱猫咪,0,2
757199181,腿玩年,一日一夜,0,0
757345572,最后一棒的六号选手，黑色皮肤的法国籍姑娘，冲刺夺冠,熊抱,1,0
757439973,我好像听到了newbee[捂嘴],无痕,0,0
757675167,看哭了都,Olivia,0,0
758142081,<p>猜错主角系列。。。</p>,补刀手爱德华,0,0
758444606,<p>感觉是第3道第4棒那个一接棒就冲的太猛了，前3名都被她带着一起冲，后程乏力，第4名保持自己的节奏，后程发力，完成反杀。</p>,一点都不酷,0,0
758486712,没看出啥,越哲,0,0
758487253,<p>都是两条腿，都会跑， 为什么人家这么能跑。、 </p>,韭菜鸡蛋,0,0
758698809,举报外挂,可乐米乐,0,0
758790424,<p>牛逼是牛逼，但是我有点点感觉前三有点互相影响，前半段节奏不好，反而法国人因为赶不上第一集团前200米完全用自己的节奏跑，让最后50米有更多的资源冲刺。</p>,道哥,1,0
758883294,<p>和我看错了吗，原来的第一名到最后似乎减速了</p>,卜海,0,0
758908499,<p>4*400米可以中途换跑道的吗</p>,浪如风,0,1
759079356,<p>那个，她双手拍脸时，接力棒放哪里了？</p>,魔星高照,0,0
759793196,跑完跟没事一样,大叔,0,0
760049277,<p>田径，体育之王的奇妙。</p>,杂人老六,0,0
